abstract,categories
resonant motions of integrable systems subject to perturbations may continue to exist and to cover surfaces with parametric equations admitting a formal power expansion in the strength of the perturbation such series may be sometimes summed via suitable sum rules defining cinfty functions of the perturbation strength here we find sufficient conditions for the borel summability of their sums in the case of twodimensional rotation vectors with diophantine exponent tau e g with ratio of the two independent frequencies equal to the golden mean,math-ph
anomalously broad diffuse interstellar bands dibs at and a are found in absorption along the line of sight to herschel the star illuminating the bright hourglass region of the h ii region messier interstellar absorption from excited ch in the j level and from excited ch in the j level is also seen to our knowledge neither those excited molecular lines nor such strongly extended dibs have previously been seen in absorption from interstellar gas these unusual features appear to arise in a small region near herschel which contains most of the neutral interstellar material in the sight line the ch and ch in that region are radiatively excited by strong farir radiation from the adjacent infrared source her se similarly the broadening of the dibs toward herschel may be due to radiative pumping of closely spaced highj rotational levels of relatively small polar carrier molecules if this picture of excited rotational states for the dib carriers is correct and applicable to most dibs the degree cosmic microwave background may set the minimum widths about a of known dibs with molecular processes andor local radiation fields producing the larger widths found for the broader dibs despite the intense local uv radiation field within the cluster ngc no previously undetected dibs stronger than ma in equivalent width are found in the optical spectrum of herschel suggesting that neither dissociation nor ionization of the carriers of the known dibs by this intense field creates new carriers with easily detectable diblike features possibly related profile anomalies for several other dibs are noted,astro-ph
we have recently shown that multifield axion nflation can lead to observable nongaussianity in much of its parameter range with the assisted inflation mechanism ensuring that the density perturbations are sufficiently close to scale invariance in this paper we extend our analysis in several directions in the case of equalmass axions we compute the probability distributions of observables and their correlations across the parameter space we examine the case of unequal masses and show that the mass spectrum must be very densely packed if the model is to remain in agreement with observations the model makes specific testable predictions for all major perturbative observables namely the spectral index tensortoscalar ratio bispectrum and trispectrum,astro-ph
carbon dioxide ice clouds are thought to play an important role for cold terrestrial planets with thick co dominated atmospheres various previous studies showed that a scattering greenhouse effect by carbon dioxide ice clouds could result in a massive warming of the planetary surface however all of these studies only employed simplified twostream radiative transfer schemes to describe the anisotropic scattering using accurate radiative transfer models with a general discrete ordinate method this study revisits this important effect and shows that the positive climatic impact of carbon dioxide clouds was strongly overestimated in the past the revised scattering greenhouse effect can have important implications for the early mars but also for planets like the early earth or the position of the outer boundary of the habitable zone,astro-ph
structured light harnessing multiple degrees of freedom has become a powerful approach to use complex states of light in fundamental studies and applications here we investigate the light field of an ultrafast laser beam with a wavelengthdepended polarization state a beam we term spectral vector beam we demonstrate a simple technique to generate and tune such structured beams and demonstrate their spectroscopic capabilities by only measuring the polarization state using fast photodetectors it is possible to track pulsetopulse changes in the frequency spectrum caused by eg narrowband transmission or absorption in our experiments we reach readout rates of around mhz which is limited by our technical ability to modulate the spectrum and can in principle reach ghz readout rates in simulations we extend the spectral range to more than nm by using a supercontinuum light source thereby paving the way to various applications requiring highspeed spectroscopic measurements,physics
this paper studies the spectralenergy efficiency seee of a heterogeneous network with the backhaul enabled by lowresolution analogtodigital converters adcs quantized fullduplex massive multipleinput multipleoutput mimo over rician channels backhaul communication is completed over two phases during the first phase the macrocell mc base station bs deploys massive receive antennas and a few transmit antennas the smallcell sc bss employ largescale receive antennas and a single transmit antenna for the second phase the roles of the transmit and receive antennas are switched due to the lowresolution adcs we account for quantization noise qn we characterize the joint impact of the number of antennas selfinterference sctosc interference qn and rician kfactor for the first phase the se is enhanced with the massive receive antennas and the loss due to qn is limited for the second phase the desired signal and qn have the same order therefore the se saturates with the massive transmit antennas as the rician kfactor increases the se converges power scaling laws are derived to demonstrate that the transmit power can be scaled down proportionally to the massive antennas we investigate the eese tradeoffs the envelope of the eese region grows with increase in the rician kfactor,cs
the enhancement of the critical current density jch of carbon and nanosic doped mgb is presented and compared the upper critical field hc being determined from resistivity under magnetic field experiments is though improved for both c substitution and nanosic addition the same is more pronounced for the former in mgbxcx carbon is substituted for boron that induces disorder in the boron network and acts as internal pinning centres the optimal jch values are obtained for x sample in case of nanosic doped in mgb the jch improves more profoundly and two simultaneous mechanisms seems responsible to this enhancement highly reactive nanosic releases free carbon atom which gets easily incorporated into the mgb lattice to act as intrinsic pinning centres further enhancement is observed for higher nanosic concentrations where the unreacted components serve as additional extrinsic pinning centres,cond-mat
in the paper we find exact asymptotics of the left tail of renewal measure for a broad class of twosided random walks we only require that an exponential moment of the left tail is finite through a simple change of measure approach our result turns out to be almost equivalent to blackwells theorem,math
we present a fully probabilistic physical model of the nonlinearly evolved density field as probed by realistic galaxy surveys our model is valid in the linear and mildly nonlinear regimes and uses second order lagrangian perturbation theory to connect the initial conditions with the final density field our parameter space consists of the d initial density field and our method allows a fully bayesian exploration of the sets of initial conditions that are consistent with the galaxy distribution sampling the final density field a natural byproduct of this technique is an optimal nonlinear reconstruction of the present density and velocity fields including a full propagation of the observational uncertainties a test of these methods on simulated data mimicking the survey mask selection function and galaxy number of the sdss dr main sample shows that this physical model gives accurate reconstructions of the underlying presentday density and velocity fields on scales larger than mpch our method naturally and accurately reconstructs nonlinear features corresponding to threepoint and higher order correlation functions such as walls and filaments simple tests of the reconstructed initial conditions show statistical consistency with the gaussian simulation inputs our test demonstrates that statistical approaches based on physical models of the large scale structure distribution are now becoming feasible for realistic current and future surveys,astro-ph
an equiangular tight frame etf is a sequence of unitnorm vectors in a euclidean space whose coherence achieves equality in the welch bound and thus yields an optimal packing in a projective space a regular simplex is a simple type of etf in which the number of vectors is one more than the dimension of the underlying space more sophisticated examples include harmonic etfs which equate to difference sets in finite abelian groups recently it was shown that some harmonic etfs are comprised of regular simplices in this paper we continue the investigation into these special harmonic etfs we begin by characterizing when the subspaces that are spanned by the etfs regular simplices form an equiisoclinic tight fusion frame eitff which is a type of optimal packing in a grassmannian space we shall see that every difference set that produces an eitff in this way also yields a complex circulant conference matrix next we consider a subclass of these difference sets that can be factored in terms of a smaller difference set and a relative difference set it turns out that these relative difference sets lend themselves to a second related and yet distinct construction of complex circulant conference matrices finally we provide explicit infinite families of etfs to which this theory applies,math
mutual information minimum spanning trees are used to explore nonlinear dependencies on brazilian equity network in the periods from june to january in which brazil was under the government of president dilma rousseff and from january to september which includes the government transition from president dilma rousseff to president michel temer minimum spanning trees from mutual information and linear correlation between stocks returns were obtained and compared mutual information minimum spanning trees present higher degree of robustness and evidence of power law tail in the weighted degree distribution indicating more risk in terms of volatility transmission than it is expected by the analysis based on linear correlation in particular a remarkable increase of stock returns nonlinear dependencies indicates that the period including the government transition is more risky in terms of volatility transmission network structure also we found evidence of network structure and stock performance relationship besides those results emphasize the usefulness of mutual information network analysis for identification of financial markets features due to nonlinear dependencies,physics
although every individual invented storage technology made a big step towards perfection none of them is spotless different data store essentials such as performance availability and recovery requirements have not met together in a single economically affordable medium yet one of the most influential factors is price so there has always been a tradeoff between having a desired set of storage choices and the costs to address this issue a network of various types of storing media is used to deliver the high performance of expensive devices such as solid state drives and nonvolatile memories along with the high capacity of inexpensive ones like hard disk drives in software caching and tiering are longestablished concepts for handling file operations and moving data automatically within such a storage network and manage data backup in lowcost media intelligently moving data around different devices based on the needs is the key insight for this matter in this survey we discuss some recent pieces of research that have been done to improve highperformance storage systems with caching and tiering techniques,cs
we discuss a phenomenon where optimal transport leads to a remarkable amount of combinatorial regularity consider infinite sequences x_k_kinfty in constructed in a greedy manner given x_ dots x_n the new point x_n is chosen so as to minimize the wasserstein distance w_ between the empirical measure of the n points and the lebesgue measure x_n argmin_x w_left fracn sum_kn delta_x_k fracdelta_xn dxright this leads to fascinating sequences for example x_n kn for some k in mathbbz which coincide with sequences recently introduced by ralph kritzinger in a different setting numerically the regularity of these sequences rival the best known constructions from combinatorics or number theory we prove a regularity result below the square root barrier,math
deep neural networks have greatly promoted the performance of single image superresolution sisr conventional methods still resort to restoring the single highresolution hr solution only based on the input of image modality however the imagelevel information is insufficient to predict adequate details and photorealistic visual quality facing large upscaling factors x x in this paper we propose a new perspective that regards the sisr as a semantic image detail enhancement problem to generate semantically reasonable hr image that are faithful to the ground truth to enhance the semantic accuracy and the visual quality of the reconstructed image we explore the multimodal fusion learning in sisr by proposing a textguided superresolution tgsr framework which can effectively utilize the information from the text and image modalities different from existing methods the proposed tgsr could generate hr image details that match the text descriptions through a coarsetofine process extensive experiments and ablation studies demonstrate the effect of the tgsr which exploits the text reference to recover realistic images,cs
let leq mleq n we study typical ranks of mtimes ntimes mn tensors over the real number field the number mn is a minimal typical rank of mtimes ntimes mn tensors over the real number field we show that a typical rank of mtimes ntimes mn tensors over the real number field is less than or equal to mn and in particular mtimes ntimes mn tensors over the real number field has two typical ranks mn mn if mleq rhon where rho is the hurwitzradon function defined as rhonbc for nonnegative integers abc such that nabc and leq b,math
we introduce acyclic polygraphs a notion of complete categorical cellular model for small categories containing generators relations and higherdimensional globular syzygies we give a rewriting method to construct explicit acyclic polygraphs from convergent presentations for that we introduce higherdimensional normalisation strategies defined as homotopically coherent ways to relate each cell of a polygraph to its normal form then we prove that acyclicity is equivalent to the existence of a normalisation strategy using acyclic polygraphs we define a higherdimensional homotopical finiteness condition for higher categories which extends squiers finite derivation type for monoids we relate this homotopical property to a new homological finiteness condition that we introduce here,math
we deal with complex spatial diffusion equations with timefractional derivative and study their stochastic solutions in particular we complexify the integral operator solution to the heattype equation where the time derivative is replaced with the convolutiontype generalization of the regularized caputo derivative we prove that this operator is solution of a complex timefractional heat equation with complex spatial variable this approach leads to a wrapped brownian motion on a circle timechanged by the inverse of the related subordinator this timechanged brownian motion is analyzed and in particular some results on its moments as well as its construction as weak limit of continuoustime random walks are obtained the extension of our approach to the higher dimensional case is also provided,math
in this paper we propose a novel method for estimating rigid body motion by modeling the object state directly in the space of the rigid body motion group se it has been recently observed that a noisy manoeuvring object in se exhibits bananashaped probability density contours in its pose for this reason we propose and investigate two state space models for moving object tracking i a direct product sexr and ii a direct product of the two rigid body motion groups sexse the first term within these two state space constructions describes the current pose of the rigid body while the second one employs its second order dynamics ie the velocities by this we gain the flexibility of tracking omnidirectional motion in the vein of a constant velocity model but also accounting for the dynamics in the rotation component since the se group is a matrix lie group we solve this problem by using the extended kalman filter on matrix lie groups and provide a detailed derivation of the proposed filters we analyze the performance of the filters on a large number of synthetic trajectories and compare them with i the extended kalman filter based constant velocity and turn rate model and ii the linear kalman filter based constant velocity model the results show that the proposed filters outperform the other two filters on a wide spectrum of types of motion,cs
the perceptionrelated origins of physical measures and standards are considered within the framework of the general observer theory the impact of observer characteristics on the development of observercentric physics physical concepts and metrics are analyzed a preliminary theoretical approach is suggested for the construction of a general observer theory and formulation of its relationship to observercentered physical concepts and theories the approach makes it possible to construct a theory of the observer intrinsic in any theory of physics,physics
the supply of electrical energy is being increasingly sourced from renewable generation resources the variability and uncertainty of renewable generation compared to a dispatchable plant is a significant dissimilarity of concern to the traditionally reliable and robust distribution systems in order to reach the optimal operation of community microgrids including various distributed energy resource the stochastic nature of renewable generation should be considered in the decisionmaking process to this end this paper proposes a stochastic scenario based model for optimal dynamic energy management of microgrids with the goal of cost and emission minimization as well as reliability maximization in the proposed model the uncertainties of load consumption and also the available output power of wind and photovoltaic units are modeled by a scenariobased stochastic programming through this method the inherent stochastic nature of the proposed problem is released and the problem is decomposed into a deterministic problem finally an improved metaheuristic algorithm based on cuckoo optimization algorithm coa is implemented to yield the best global optimal solution the proposed framework is applied in the typical gridconnected microgrids in order to verify its efficiency and feasibility,math
energy disaggregation in a nonintrusive way estimates appliance level electricity consumption from a single meter that measures the whole house electricity demand recently with the ongoing increment of energy data there are many datadriven deep learning architectures being applied to solve the nonintrusive energy disaggregation problem however most proposed methods try to estimate the onoff state or the power consumption of appliance which need not only large amount of parameters but also hyperparameter optimization prior to training and even preprocessing of energy data for a specified appliance in this paper instead of estimating onoff state or power consumption we adapt a neural network to estimate the operational state change of appliance our proposed solution is more feasible across various appliances and lower complexity comparing to previous methods the simulated experiments in the low sample rate dataset redd show the competitive performance of the designed method with respect to other two benchmark methods hidden markov modelbased and graph signal processingbased approaches,cs
electromagnetic modeling provides an interesting context to present a link between physical phenomena and homology and cohomology theories over the past twentyfive years a considerable effort has been invested by the computational electromagnetics community to develop fast and general techniques for potential design when magnetoquasistatic discrete formulations based on magnetic scalar potential are employed in problems which involve conductive regions with holes textitcuts are needed to make the boundary value problem well defined while an intimate connection with homology theory has been quickly recognized heuristic definitions of cuts are surprisingly still dominant in the literature the aim of this paper is first to survey several definitions of cuts together with their shortcomings then cuts are defined as generators of the first cohomology group over integers of a finite cwcomplex this provably general definition has also the virtue of providing an automatic general and efficient algorithm for the computation of cuts some counterexamples show that heuristic definitions of cuts should be abandoned the use of cohomology theory is not an option but the invaluable tool expressly needed to solve this problem,math
we present a straightforward statistical test to detect certain violations of the assumption that the data are independent and identically distributed iid the specific form of violation considered is common across realworld applications whether the examples are ordered in the dataset such that almost adjacent examples tend to have more similar feature values eg due to distributional drift or attractive interactions between datapoints based on a knearest neighbors estimate our approach can be used to audit any multivariate numeric data as well as other data types image text audio etc that can be numerically represented perhaps with model embeddings compared with existing methods to detect drift or autocorrelation our approach is both applicable to more types of data and also able to detect a wider variety of iid violations in practice code httpsgithubcomcleanlabcleanlab,cs
in this paper we study the modified leray alpha model with periodic boundary conditions we show that when the initial data are infinitely differentiable then the unique solution are infinitely differentiable in space and time furthermore this regular solution verifies a sequence of energy inequalities that is called ladder inequalities,math
we present a rectifying manganitetitanate heterojunction exhibiting a magnetic field tunable depletion layer this creates a large positive magnetocapacitance a direct measure of the fieldinduced reduction of the effective depletion width across the junction furthermore the reduction of the junction barrier shifts the forward bias characteristics giving exponentiallyenhanced differential magnetoresistance occurring despite the absence of a spin filter these results provide a unique probe of a mott insulatorband insulator interface and further suggest new electronic devices incorporating the magnetic field sensitivity of these strongly correlated electron materials,cond-mat
an up to t pulsed magnetic field generator in a volume of a few cubic centimeters has been created for experiments with magnetized laser plasma the magnetic field is created by a pair of coils placed in a sealed reservoir with liquid nitrogen which is installed in a vacuum chamber with a laser target the bearing body provides the mechanical strength of the system both in the case of codirectional and oppositely connected coils the configuration of the housing allows laser radiation to be introduced into the working area between the coils in a wide range of directions and focusing angles to place targets away from the symmetry axis of the magnetic system and to irradiate several targets simultaneously,physics
automatic static analysis tools asats such as findbugs have a high false alarm rate the large number of false alarms produced poses a barrier to adoption researchers have proposed the use of machine learning to prune false alarms and present only actionable warnings to developers the stateoftheart study has identified a set of golden features based on metrics computed over the characteristics and history of the file code and warning recent studies show that machine learning using these features is extremely effective and that they achieve almost perfect performance we perform a detailed analysis to better understand the strong performance of the golden features we found that several studies used an experimental procedure that results in data leakage and data duplication which are subtle issues with significant implications firstly the groundtruth labels have leaked into features that measure the proportion of actionable warnings in a given context secondly many warnings in the testing dataset appear in the training dataset next we demonstrate limitations in the warning oracle that determines the groundtruth labels a heuristic comparing warnings in a given revision to a reference revision in the future we show the choice of reference revision influences the warning distribution moreover the heuristic produces labels that do not agree with human oracles hence the strong performance of these techniques previously seen is overoptimistic of their true performance if adopted in practice our results convey several lessons and provide guidelines for evaluating false alarm detectors,cs
in this paper we study a vector conservation law that models the growth and selection of ovarian follicles during each ovarian cycle only a definite number of follicles ovulate while the others undergo a degeneration process called atresia this work is motivated by a multiscale mathematical model starting on the cellular scale where ovulation or atresia result from a hormonally controlled selection process a twodimensional conservation law describes the age and maturity structuration of the follicular cell populations the densities intersect through a coupled hyperbolic system between different follicles and cell phases which results in a vector conservation law and coupling boundary conditions the maturity velocity functions possess both a local and nonlocal character we prove the existence and uniqueness of the weak solution to the cauchy problem with bounded initial and boundary data,math
theoretical studies of the metamagnetism and anomalous phase of srruo have focused on the role of van hove singularities although much experimental evidence points towards quantum criticality having a large effect we investigate the magnetic and thermodynamic properties of systems where magnetic field tunes through such a peak in the electronic density of states we study the generic case of a van hove singularity in d we see that in combination with the requirement of number conservation and interaction effects the peak in the density of states produces several interesting phenomena including raising the critical field of the transition above naive estimates altering the relationship between temperature and field scales and creating a distinctive doublepeak structure in the electronic specific heat we show that this apparent nonfermi liquid behaviour can be caused at meanfield level by a peak in the density of states,cond-mat
rareearth iron garnets r_fe_o_ are fascinating insulators with very diverse magnetic phases their strong potential in spintronic devices has encouraged a renewal of interest in the study of their low temperature spin structures and spin wave dynamics a striking feature of rareearth garnets with rions exhibiting strong crystalfield effects like tb dy ho and erions is the observation of lowtemperature noncollinear magnetic structures featuring umbrellalike arrangements of the rareearth magnetic moments in this study we demonstrate that such umbrella magnetic states are naturally emerging from the crystalfield anisotropies of the rareearth ions by means of a general model endowed with only the necessary elements from the crystal structure we show how umbrellalike spin structures can take place and calculate the cantingangle as a result of the competition between the exchangeinteraction of the rareearth and the iron ions as well as the crystalfield anisotropy our results are compared to experimental data and a study of the polarised spin wave dynamics is presented our study improves the understanding of umbrellalike spin structures and paves the way for more complex spin wave calculations in rareearth iron garnets with noncollinear magnetic phases,cond-mat
we study completely integrable systems attached to takiff algebras mathfrakg_n extending open toda systems of split simple lie algebras mathfrakg with respect to darboux coordinates on coadjoint orbits mathcalo the potentials of the hamiltonians are products of polynomial and exponential functions general solutions for equations of motion for mathfrakg_n are obtained using differential operators called jet transformations these results are applied to a body problem based on mathfraksl and to an extension of soliton solutions for a_infty to associated takiff algebras the new classical integrable systems are then lifted to families of commuting operators in an enveloping algebra solving a vinberg problem and quantizing the poisson algebra of functions on mathcalo,math-ph
we revisit the theory of the pseudo magnetic field as induced by strain in graphene using the tightbinding approach a systematic expansion of the hopping parameter and the deformation of the lattice vectors is presented from which we obtain an expression for the pseudo magnetic field for low energy electrons we generalize and discuss previous results and propose a novel effective hamiltonian the contributions of the different terms to the pseudo magnetic field expression is investigated for a model triaxial strain profile and are compared with the full solution our work suggests that the previous proposed pseudo magnetic field expression is valid up to reasonably high strain and there is no kdependent pseudomagnetic field,cond-mat
tidal debris structures formed from disrupted satellites contain important clues about the assembly histories of galaxies to date studies of these structures have been hampered by reliance on byeye identification and morphological classification which leaves their interpretation significantly uncertain in this work we present a new machinevision technique based on the subspaceconstrained mean shift scms algorithm which can perform these tasks automatically scms finds the location of the highdensity ridges that define substructure morphology after identification the coefficients of an orthogonal series density estimator are used to classify points on the ridges as part of a continuum between shelllike or streamlike debris from which a global morphological classification can be determined we dub this procedure subspace constrained unsupervised detection of structure scuds by applying this tool to controlled nbody simulations of minor mergers we demonstrate that the extracted classifications correspond to the wellunderstood underlying physics of phase mixing the application of scuds to resolved stellar population data from nearfuture surveys will inform our understanding of the buildup of galaxies stellar halos,astro-ph
let i be a compact ddimensional manifold let xito r be a gaussian process with regular paths and let f_iu uin r be the probability distribution function of sup_tin ixt we prove that under certain regularity and nondegeneracy conditions f_i is a cfunction and satisfies a certain implicit equation that permits to give bounds for its values and to compute its asymptotic behavior as uto infty this is a partial extension of previous results by the authors in the case d our methods use strongly the socalled rice formulae for the moments of the number of roots of an equation of the form ztx where zito rd is a random field and x is a fixed point in rd we also give proofs for this kind of formulae which have their own interest beyond the present application,math
haze removal in aerial images is a challenging problem due to considerable variation in spatial details and varying contrast changes in particulate matter density often lead to degradation in visibility therefore several approaches utilize multispectral data as auxiliary information for haze removal in this paper we propose skygan for haze removal in aerial images skygan consists of a domainaware hazytohyperspectral hh module and a conditional gan cgan based multicue imagetoimage translation module ii for dehazing the proposed hh module reconstructs several visual bands from rgb images in an unsupervised manner which overcomes the lack of hazy hyperspectral aerial image datasets the module utilizes task supervision and domain adaptation in order to create a hyperspectral catalyst for image dehazing the ii module uses the hyperspectral catalyst along with a channel multicue input and performs effective image dehazing by utilizing the entire visual spectrum in addition this work introduces a new dataset called hazy aerialimage hai dataset that contains more than pairs of hazy and ground truth aerial images with realistic nonhomogeneous haze of varying density the performance of skygan is evaluated on the recent satehazek dataset as well as the hai dataset we also present a comprehensive evaluation of hai dataset with a representative set of stateoftheart techniques in terms of psnr and ssim,cs
a mendelsohn triple system of order v or mtsv is a decomposition of the complete graph into directed cyles we denote the directed cycle with edges xy yz and zx by xyz yzx or zxy an ellgood sequencing of a mtsv is a permutation of the points of the design say x_ cdots x_v such that for every triple xyz in the design it is not the case that x x_i y x_j and z x_k with i j k and ki leq ell or with j k i and ij leq ell or with k i j and jk leq ell,math
as documented by textbooks the teaching of electromagnetic induction in university and high school courses is primarily based on what feynman labeled as the flux rule downgrading it from the status of physical law however maxwell derived a general law of electromagnetic induction in which the vector potential plays a fundamental role a modern reformulation of maxwells law can be easily obtained by defining the induced electromotive force as oint_l vec e vec v_ctimes vec bcdotvecdl where vec v_c is the velocity of the positive charges which by convention are the current carriers maxwell did not possess a model for the electric current therefore in his law he took vec v_c to be the velocity of the circuit element containing the charges this paper aims to show that the modern reformulation of maxwells law governs electromagnetic induction and that the flux rule is not a physical law but only a calculation shortcut that does not always yield the correct predictions the paper also tries to understand why maxwells law has been ignored and how the flux rule has taken root finally a section is dedicated to teaching this modern reformulation of maxwells law in high schools and elementary physics courses,physics
the gridtorod fretting gtrf problem in pressurized water reactors is a flowinduced vibration problem that results in wear and failure of the fuel rods in nuclear assemblies in order to understand the fluid dynamics of gtrf and to build an archival database of turbulence statistics for various configurations implicit largeeddy simulations of timedependent singlephase turbulent flow have been performed in x and x rod bundles with a single grid spacer to assess the computational mesh and resolution requirements a method for quantitative assessment of unstructured meshes with noslip walls is described the calculations have been carried out using hydrath a thermalhydraulics code developed at los alamos for the consortium for advanced simulation of light water reactors a united states department of energy innovation hub hydrath uses a secondorder implicit incremental projection method to solve the singlephase incompressible navierstokes equations the simulations explicitly resolve the large scale motions of the turbulent flow field using first principles and rely on a monotonicitypreserving numerical technique to represent the unresolved scales each series of simulations for the x and x rodbundle geometries is an analysis of the flow field statistics combined with a meshrefinement study and validation with available experimental data our primary focus is the time history and statistics of the forces loading the fuel rods these hydrodynamic forces are believed to be the key player resulting in rod vibration and gtrf wear one of the leading causes for leaking nuclear fuel which costs power utilities millions of dollars in preventive measures we demonstrate that implicit largeeddy simulation of rodbundle flows is a viable way to calculate the excitation forces for the gtrf problem,physics
